month,customer_id,plan_id,plan_name,plan_tier,plan_mrr,seat_count
2026-11,C005,P001,Starter,1,400.0,8
2026-11,C006,P002,Growth,2,0.0,0
2026-11,C006,P003,Enterprise,3,3500.0,70
2026-11,C007,P002,Growth,2,0.0,0
2026-11,C008,P003,Enterprise,3,9000.0,180
2026-11,C009,P001,Starter,1,900.0,18
2026-11,C010,P002,Growth,2,2500.0,50
2026-11,C011,P003,Enterprise,3,8500.0,170
2026-11,C012,P001,Starter,1,0.0,0
2026-12,C001,P003,Enterprise,3,5800.0,116
2026-12,C002,P001,Starter,1,0.0,0
2026-12,C003,P002,Growth,2,1800.0,36
2026-12,C004,P003,Enterprise,3,7500.0,150
2026-12,C004,P004,AI Add-on,4,800.0,140
2026-12,C005,P001,Starter,1,400.0,8
2026-12,C006,P002,Growth,2,0.0,0
2026-12,C006,P003,Enterprise,3,3500.0,70
2026-12,C007,P002,Growth,2,0.0,0
2026-12,C008,P003,Enterprise,3,9000.0,180
2026-12,C009,P001,Starter,1,900.0,18
2026-12,C010,P002,Growth,2,2500.0,50
2026-12,C011,P003,Enterprise,3,8500.0,170
2026-12,C012,P001,Starter,1,0.0,0
